,title,url,year,status
0,"L’année 1437 dans la pratique de Pierre Christofle, notaire du Châtelet d’Orléans",http://elec.enc.sorbonne.fr/christofle/index.html,2016,200
1,The Aberdeen Bestiary,http://www.abdn.ac.uk/bestiary,1996,200
2,apw - Acta Pacis Westphalicae,http://apw.digitale-sammlungen.de/,2014,200
3,Édition numérique des Actes des églises réformées de Bourgogne au XVIIe siècle.,http://synodes-protestants.symogih.org/index.html,2018,200
4,Actes royaux,http://www.cn-telma.fr/actesroyaux/index/,2008,404
5,Adams Family Papers - An Electronic Archive,http://www.masshist.org/digitaladams/archive/,2003,200
6,The Adams Papers Digital Edition,https://rotunda.upress.virginia.edu/founders/ADMS.html,2008,200
7,John Quincy Adams Diary,https://www.masshist.org/publications/jqadiaries/index.php,2017,200
8,The Jane Addams Digital Edition,https://digital.janeaddams.ramapo.edu,2015,200
9,The Latin Prose and Poetry of Joseph Addison,http://www.philological.bham.ac.uk/Addison/,1997,200
10,Die Relatio Adelberts von Heidenheim und der Text Ilsungs,http://www.forschungsdatenarchiv.escience.uni-tuebingen.de/adlils/adelbert_relatio,2016,"HTTPConnectionPool(host='www.forschungsdatenarchiv.escience.uni-tuebingen.de', port=80): Max retries exceeded with url: /adlils/adelbert_relatio (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f3f7e712cb0>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
11,African American Women Writers of the 19thCentury,http://digital.nypl.org/schomburg/writers_aa19/,1998,200
12,Anna Lætitia Aikin: Poems (1773),https://romantic-circles.org/editions/contemps/barbauld/poems1773/,2000,200
13,The Alcalá Account Book,,2008,Invalid URL '': No schema supplied. Perhaps you meant http://?
14,Alciato's Book of Emblems: The Memorial Web Edition in Latin and English,http://www.mun.ca/alciato/,1995,200
15,D'Alembert en toutes lettres,http://dalembert.academie-sciences.fr/Correspondance,2013,200
16,"Altfranzösische Urkunden, 1237-1281. Edition der Urkunden Gräfin Ermesindes (1226-1247) und Graf Heinrichs V. (1247-1281) von Luxemburg.",http://www.rmnet.uni-trier.de/cgi-bin/RMnetIndex.tcl?hea=qf&for=qafranzu,2003,200
17,Ancrene Wisse Preface,http://web.archive.org/web/20070530001208/http://www.tei-c.org.uk/Projects/EETS/,1999,200
18,"Con2: An Edition of The Anglo-Saxon Chronicles, 924-983",http://web.archive.org/web/20080209001636/http://www.slu.edu/departments/english/chron/index.html,1996,200
19,"Eleventh-Century Anglo-Saxon Glossary From Ms. Brussels, Royal Library 1650: An Edition and Source Study",http://web.archive.org/web/20060828032335/http://www.wmich.edu/medieval/research/rawl/glossary/,1995,200
20,InsAph - Inscriptions of Aphrodisias Project,http://insaph.kcl.ac.uk/,2005,"HTTPSConnectionPool(host='insaph.kcl.ac.uk', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: WRONG_SIGNATURE_TYPE] wrong signature type (_ssl.c:997)')))"
21,The Dynamic Edition of the Declaration of Arbroath,https://cotr.ac.uk/guidelines/dynamic-declaration-arbroath/,2020,200
22,Edizione Digitale di FGrHist 104 [Aristodemo],http://pietroliuzzo.github.io/Aristodemo/,2016,200
